Bladet innehåller en tabell.,,,,,
Gruppkod,Kommunkod,Kommunnamn, Huvudgrupp,Kommungrupp 2023,
A1,0180,Stockholm,Storstäder och storstadsnära kommuner,Storstäder,
A1,1280,Malmö,Storstäder och storstadsnära kommuner,Storstäder,
A1,1480,Göteborg,Storstäder och storstadsnära kommuner,Storstäder,
A2,0114,Upplands Väsby,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0115,Vallentuna,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0117,Österåker,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0120,Värmdö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0123,Järfälla,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0125,Ekerö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0126,Huddinge,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0127,Botkyrka,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0128,Salem,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0136,Haninge,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0138,Tyresö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0139,Upplands-Bro,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0160,Täby,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0162,Danderyd,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0163,Sollentuna,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0182,Nacka,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0183,Sundbyberg,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0184,Solna,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0186,Lidingö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0187,Vaxholm,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0191,Sigtuna,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0192,Nynäshamn,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,0305,Håbo,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1230,Staffanstorp,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1231,Burlöv,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1233,Vellinge,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1261,Kävlinge,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1262,Lomma,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1263,Svedala,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1264,Skurup,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1287,Trelleborg,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1384,Kungsbacka,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1401,Härryda,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1402,Partille,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1407,Öckerö,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1415,Stenungsund,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1440,Ale,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1441,Lerum,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1443,Bollebygd,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1462,Lilla Edet,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1481,Mölndal,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1482,Kungälv,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
A2,1489,Alingsås,Storstäder och storstadsnära kommuner,Pendlingskommun nära storstad,
B3,0181,Södertälje,Större städer och kommuner nära större stad,Större stad,
B3,0380,Uppsala,Större städer och kommuner nära större stad,Större stad,
B3,0484,Eskilstuna,Större städer och kommuner nära större stad,Större stad,
B3,0580,Linköping,Större städer och kommuner nära större stad,Större stad,
B3,0581,Norrköping,Större städer och kommuner nära större stad,Större stad,
B3,0680,Jönköping,Större städer och kommuner nära större stad,Större stad,
B3,0780,Växjö,Större städer och kommuner nära större stad,Större stad,
B3,0880,Kalmar,Större städer och kommuner nära större stad,Större stad,
B3,1281,Lund,Större städer och kommuner nära större stad,Större stad,
B3,1283,Helsingborg,Större städer och kommuner nära större stad,Större stad,
B3,1290,Kristianstad,Större städer och kommuner nära större stad,Större stad,
B3,1380,Halmstad,Större städer och kommuner nära större stad,Större stad,
B3,1488,Trollhättan,Större städer och kommuner nära större stad,Större stad,
B3,1490,Borås,Större städer och kommuner nära större stad,Större stad,
B3,1780,Karlstad,Större städer och kommuner nära större stad,Större stad,
B3,1880,Örebro,Större städer och kommuner nära större stad,Större stad,
B3,1980,Västerås,Större städer och kommuner nära större stad,Större stad,
B3,2081,Borlänge,Större städer och kommuner nära större stad,Större stad,
B3,2180,Gävle,Större städer och kommuner nära större stad,Större stad,
B3,2281,Sundsvall,Större städer och kommuner nära större stad,Större stad,
B3,2380,Östersund,Större städer och kommuner nära större stad,Större stad,
B3,2480,Umeå,Större städer och kommuner nära större stad,Större stad,
B3,2580,Luleå,Större städer och kommuner nära större stad,Större stad,
B4,0140,Nykvarn,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0319,Älvkarleby,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0330,Knivsta,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0331,Heby,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0360,Tierp,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0381,Enköping,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0461,Gnesta,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0486,Strängnäs,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0488,Trosa,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0513,Kinda,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0561,Åtvidaberg,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0563,Valdemarsvik,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0582,Söderköping,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0586,Mjölby,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0604,Aneby,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0642,Mullsjö,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0643,Habo,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0665,Vaggeryd,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0761,Lessebo,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0764,Alvesta,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0834,Torsås,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,0840,Mörbylånga,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1083,Sölvesborg,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1214,Svalöv,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1256,Östra Göinge,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1257,Örkelljunga,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1260,Bjuv,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1265,Sjöbo,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1266,Hörby,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1272,Bromölla,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1275,Perstorp,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1276,Klippan,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1277,Åstorp,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1282,Landskrona,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1284,Höganäs,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1285,Eslöv,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1292,Ängelholm,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1381,Laholm,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1444,Grästorp,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1463,Mark,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1465,Svenljunga,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1466,Herrljunga,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1487,Vänersborg,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1715,Kil,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1761,Hammarö,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1763,Forshaga,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1764,Grums,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1814,Lekeberg,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1861,Hallsberg,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1881,Kumla,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1884,Nora,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1907,Surahammar,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1961,Hallstahammar,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,1981,Sala,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2026,Gagnef,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2082,Säter,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2101,Ockelbo,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2262,Timrå,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2309,Krokom,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2401,Nordmaling,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2403,Bjurholm,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2409,Robertsfors,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B4,2460,Vännäs,Större städer och kommuner nära större stad,Pendlingskommun nära större stad,
B5,0382,Östhammar,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,0562,Finspång,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,0583,Motala,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,0682,Nässjö,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,0760,Uppvidinge,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,0763,Tingsryd,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,0881,Nybro,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1293,Hässleholm,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1315,Hylte,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1452,Tranemo,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1485,Uddevalla,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1491,Ulricehamn,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1762,Munkfors,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1781,Kristinehamn,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1860,Laxå,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1882,Askersund,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1885,Lindesberg,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,1983,Köping,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,2181,Sandviken,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,2305,Bräcke,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,2326,Berg,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,2404,Vindeln,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,2560,Älvsbyn,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
B5,2582,Boden,Större städer och kommuner nära större stad,Lågpendlingskommun nära större stad,
C6,0188,Norrtälje,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,0480,Nyköping,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,0483,Katrineholm,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,0683,Värnamo,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,0781,Ljungby,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,0882,Oskarshamn,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,0883,Västervik,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,0980,Gotland,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1080,Karlskrona,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1082,Karlshamn,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1286,Ystad,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1382,Falkenberg,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1383,Varberg,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1493,Mariestad,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1494,Lidköping,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1496,Skövde,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1499,Falköping,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,1883,Karlskoga,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2080,Falun,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2084,Avesta,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2085,Ludvika,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2184,Hudiksvall,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2280,Härnösand,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2284,Örnsköldsvik,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2482,Skellefteå,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2581,Piteå,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C6,2584,Kiruna,Mindre städer/tätorter och landsbygdskommuner,Mindre stad/tätort,
C7,0428,Vingåker,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0481,Oxelösund,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0482,Flen,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0509,Ödeshög,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0512,Ydre,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0560,Boxholm,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0584,Vadstena,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0617,Gnosjö,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0684,Sävsjö,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0686,Eksjö,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0765,Älmhult,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0767,Markaryd,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0821,Högsby,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0860,Hultsfred,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0861,Mönsterås,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,0862,Emmaboda,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1060,Olofström,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1081,Ronneby,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1267,Höör,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1270,Tomelilla,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1273,Osby,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1419,Tjörn,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1421,Orust,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1430,Munkedal,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1438,Dals-Ed,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1439,Färgelanda,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1442,Vårgårda,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1445,Essunga,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1446,Karlsborg,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1447,Gullspång,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1461,Mellerud,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1470,Vara,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1471,Götene,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1472,Tibro,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1473,Töreboda,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1492,Åmål,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1495,Skara,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1497,Hjo,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1498,Tidaholm,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1760,Storfors,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1862,Degerfors,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1864,Ljusnarsberg,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1904,Skinnskatteberg,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1960,Kungsör,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1962,Norberg,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1982,Fagersta,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,1984,Arboga,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,2061,Smedjebacken,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,2083,Hedemora,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,2104,Hofors,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C7,2132,Nordanstig,Mindre städer/tätorter och landsbygdskommuner,Pendlingskommun nära mindre tätort,
C8,0662,Gislaved,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,0685,Vetlanda,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,0687,Tranås,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,0884,Vimmerby,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1460,Bengtsfors,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1484,Lysekil,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1737,Torsby,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1766,Sunne,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1782,Filipstad,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1783,Hagfors,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1784,Arvika,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1785,Säffle,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,1863,Hällefors,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2021,Vansbro,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2121,Ovanåker,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2161,Ljusdal,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2182,Söderhamn,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2183,Bollnäs,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2260,Ånge,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2282,Kramfors,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2283,Sollefteå,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2303,Ragunda,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2313,Strömsund,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2417,Norsjö,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2418,Malå,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2425,Dorotea,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2462,Vilhelmina,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2463,Åsele,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2481,Lycksele,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2505,Arvidsjaur,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2513,Överkalix,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2514,Kalix,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2518,Övertorneå,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2521,Pajala,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C8,2583,Haparanda,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun,
C9,0885,Borgholm,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,1278,Båstad,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,1291,Simrishamn,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,1427,Sotenäs,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,1435,Tanum,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,1486,Strömstad,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,1730,Eda,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,1765,Årjäng,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2023,Malung-Sälen,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2029,Leksand,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2031,Rättvik,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2034,Orsa,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2039,Älvdalen,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2062,Mora,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2321,Åre,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2361,Härjedalen,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2421,Storuman,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2422,Sorsele,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2506,Arjeplog,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2510,Jokkmokk,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
C9,2523,Gällivare,Mindre städer/tätorter och landsbygdskommuner,Landsbygdskommun med besöksnäring,
,,,,,
